State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade,tempmax,tempmin,humidity,precip,uvindex
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,91.6,2000,5000,3750,2023-03-22,FAQ,82.4,61.1,74.5,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,91.8,2000,6000,4250,2023-08-14,FAQ,93.6,82.4,70.0,0.0,5
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,92.1,2000,5000,3650,2024-04-10,FAQ,99.2,66.8,28.6,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,92.1,2000,5500,4300,2024-03-20,FAQ,91.4,60.8,49.4,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,92.2,1000,2000,1500,2025-04-11,FAQ,94.4,69.8,58.3,0.035,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,92.6,1500,3000,2300,2024-11-29,FAQ,77.2,50.9,64.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,92.7,200,800,450,2023-04-26,FAQ,96.7,72.7,35.6,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,92.7,1500,3000,2200,2024-01-12,FAQ,63.8,41.9,83.5,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,93.0,400,1000,750,2023-05-23,FAQ,111.2,89.1,25.1,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,93.3,2000,3200,2600,2025-01-21,FAQ,73.2,51.8,74.6,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,93.5,2000,6000,4150,2024-08-14,FAQ,94.7,82.2,83.8,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,93.8,100,600,350,2023-05-10,FAQ,97.0,75.2,25.0,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,93.9,2000,6000,4500,2024-08-21,FAQ,95.8,80.6,77.2,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.0,2500,8000,6200,2024-10-24,FAQ,92.2,68.0,60.3,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.1,1000,2000,1300,2023-11-14,FAQ,77.7,57.9,70.6,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.2,1500,4000,2900,2024-12-28,FAQ,60.8,55.4,96.2,0.204,2
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.5,1000,3000,2250,2023-07-01,FAQ,92.6,78.9,83.4,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.7,1500,3000,2050,2025-02-28,FAQ,78.7,66.1,67.8,0.335,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.8,1000,1800,1300,2025-03-21,FAQ,89.1,60.8,49.6,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.8,1500,2500,2100,2023-12-27,FAQ,67.2,50.5,91.9,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.9,1500,3000,2000,2025-02-22,FAQ,74.5,53.6,75.1,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,94.9,4000,6000,5300,2024-09-11,FAQ,89.6,78.8,87.0,0.072,5
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.0,1500,5000,3600,2024-10-07,FAQ,94.6,75.2,66.3,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.2,1500,2500,2100,2024-12-09,FAQ,69.1,49.8,69.8,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.2,4000,10000,7500,2023-07-24,FAQ,98.6,84.2,70.6,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.3,800,2500,1850,2023-01-20,FAQ,72.7,51.8,62.1,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.4,1500,4000,2400,2024-02-15,FAQ,76.6,51.3,71.0,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.4,1500,4000,3050,2024-12-17,FAQ,73.1,44.6,70.8,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.7,3000,7000,4900,2023-10-05,FAQ,94.0,69.8,53.8,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,95.9,2300,6000,4100,2024-11-19,FAQ,75.1,57.1,70.9,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,96.1,500,2500,1500,2023-06-28,FAQ,94.8,80.6,85.0,0.076,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,96.4,500,1500,950,2023-05-25,FAQ,95.6,71.6,53.4,0.187,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,96.6,800,2500,1850,2023-02-13,FAQ,71.7,48.2,41.8,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,96.6,2000,4000,3000,2023-09-04,FAQ,96.9,81.3,58.2,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,96.6,2000,5000,3650,2024-03-22,FAQ,91.4,66.2,58.9,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,96.7,2000,5000,3750,2023-03-23,FAQ,85.3,62.6,61.3,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,97.3,200,800,500,2023-05-16,FAQ,102.2,82.4,30.5,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,97.3,1500,3500,2400,2025-02-04,FAQ,77.0,57.2,66.3,0.007,5
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,97.3,2000,5000,4150,2024-04-25,FAQ,102.2,71.4,31.3,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,98.8,1000,1800,1500,2024-05-02,FAQ,95.4,68.7,25.1,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,98.8,1000,2500,1750,2023-12-18,FAQ,70.7,47.7,71.5,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,99.0,1500,3000,2250,2024-01-20,FAQ,62.6,45.5,82.3,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,99.0,1500,3000,2300,2024-11-26,FAQ,78.6,56.4,66.0,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,99.2,2000,5000,3300,2024-03-09,FAQ,78.8,53.6,53.4,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,99.4,2000,5000,3750,2024-08-03,FAQ,93.6,82.4,81.5,0.015,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,99.5,1000,3000,2100,2023-12-02,FAQ,74.7,57.2,83.6,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,99.7,4000,6000,5100,2024-09-21,FAQ,94.4,78.8,75.8,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.0,1500,3000,2250,2024-01-27,FAQ,74.1,43.6,68.3,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.0,2000,6000,4500,2024-08-29,FAQ,84.2,77.0,95.6,3.242,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.0,3500,6500,5000,2023-08-18,FAQ,97.2,84.2,64.0,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.2,2000,4500,3500,2023-03-29,FAQ,90.6,65.2,53.5,0.308,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.3,1000,3000,1900,2023-11-24,FAQ,79.0,53.6,70.1,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.3,1500,3000,2150,2024-01-31,FAQ,60.8,48.5,96.2,0.366,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.5,1500,2500,2000,2025-06-14,FAQ,107.6,87.8,55.2,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.6,1500,3000,2250,2024-01-15,FAQ,63.8,41.0,80.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.6,1500,4000,3050,2024-12-19,FAQ,71.7,43.1,73.6,0.0,6
